ticker,one_year_price_return,one_year_return_percentile,six_month_price_return,six_month_return_percentile,three_month_price_return,three_month_return_percentile,one_month_price_return,one_month_return_percentile,momentum_score,price-to-earnings_ratio,pe_percentile,price-to-book_ratio,pb_percentile,price-to-sales_ratio,ps_percentile,ev/ebitda,ev/ebitda_percentile,ev/gp,ev/gp_percentile,value_score,stock_price,market_capitalization,number_of_share_to_buy,price,shares_to_buy
RE,,,,,,,,,,12.49,0.198,1.3,0.15,1.26,0.139,12.56,0.33899999999999997,1.2,0.038,17.2,260.01,12715738732.0,11.0,263.12,9200.0
REG,,,,,,,,,,,,,,,,,,,,,66.34,11483804656.0,43.0,,
REGN,,,,,,,,,,,,,,,,,,,,,579.07,63284039921.0,4.0,,
RF,,,,,,,,,,,,,,,,,,,,,20.47,20280703859.0,140.0,,
RHI,,,,,,,,,,,,,,,,,,,,,90.82,10335871121.0,31.0,,
RJF,,,,,,,,,,,,,,,,,,,,,135.54,19026239803.0,21.0,,
RL,,,,,,,,,,,,,,,,,,,,,119.78,8573315813.0,24.0,,
RMD,,,,,,,,,,,,,,,,,,,,,259.09,36594013884.0,11.0,,
ROK,,,,,,,,,,,,,,,,,,,,,286.75,33090838844.0,10.0,,
ROL,,,,,,,,,,,,,,,,,,,,,34.67,17642874898.0,83.0,,
ROP,,,,,,,,,,,,,,,,,,,,,477.79,51168130222.0,6.0,,
ROST,,,,,,,,,,,,,,,,,,,,,126.23,44704700821.0,22.0,,
RSG,,,,,,,,,,,,,,,,,,,,,114.2,36487924553.0,25.0,,
RTX,,,,,,,,,,,,,,,,,,,,,86.8,134086743377.0,33.0,,
SBAC,,,,,,,,,,,,,,,,,,,,,332.36,36329800466.0,8.0,,
SBUX,,,,,,,,,,,,,,,,,,,,,119.74,139403792731.0,24.0,,
SCHW,,,,,,,,,,,,,,,,,,,,,75.22,139353367960.0,38.0,,
SEE,0.8941,0.8416,0.3134,0.7822,0.31379999999999997,0.9881,0.026699999999999998,0.703,82.87,,,,,,,,,,,,59.14,9083604653.0,48.0,61.73,1310.0
SHW,,,,,,,,,,,,,,,,,,,,,284.95,74608058089.0,10.0,,
SIVB,,,,,,,,,,,,,,,,,,,,,575.58,31993146331.0,5.0,,
SJM,,,,,,,,,,,,,,,,,,,,,130.18,14114050064.0,22.0,,
SLB,0.9179,0.8515,0.5233,0.9564,0.1822,0.895,0.0043,0.5703,81.83,,,,,,,,,,,,34.23,47431237442.0,84.0,33.38,2423.0
SLG,,,,,,,,,,,,,,,,,,,,,83.13,5769320348.0,34.0,,
SNA,,,,,,,,,,,,,,,,,,,,,223.59,12256125448.0,12.0,,
SNPS,,,,,,,,,,,,,,,,,,,,,283.0,43837023635.0,10.0,,
SO,,,,,,,,,,,,,,,,,,,,,61.41,67632607463.0,46.0,,
SPG,1.0697,0.9068999999999999,0.5982999999999999,0.9723,0.16949999999999998,0.8733,-0.0091,0.4733,80.64,,,,,,,,,,,,138.07,43382365627.0,20.0,136.05,594.0
SPGI,,,,,,,,,,,,,,,,,,,,,419.51,102979072563.0,6.0,,
SRE,,,,,,,,,,,,,,,,,,,,,133.64,40707511961.0,21.0,,
STE,,,,,,,,,,,,,,,,,,,,,219.79,18358180838.0,13.0,,
STT,,,,,,,,,,,,,,,,,,,,,84.72,29631514995.0,34.0,,
STX,,,,,,,,,,22.19,0.406,0.0,0.085,0.0,0.004,2.93,0.044000000000000004,1.44,0.05,11.8,89.29,0.0,32.0,87.79,27573.0
STZ,,,,,,,,,,,,,,,,,,,,,240.5,45185869233.0,11.0,,
SWK,,,,,,,,,,,,,,,,,,,,,212.45,34478305719.0,13.0,,
SWKS,,,,,,,,,,,,,,,,,,,,,200.8,31936863780.0,14.0,,
SYF,1.34,0.9584,0.4343,0.9188,0.1804,0.8911,-0.0021,0.5168,82.13,,,,,,,,,,,,49.93,29049797006.0,57.0,50.18,1612.0
SYK,,,,,,,,,,,,,,,,,,,,,275.91,100904829861.0,10.0,,
SYY,,,,,,,,,,,,,,,,,,,,,76.79,40241091416.0,37.0,,
T,,,,,,,,,,-86.69,0.022000000000000002,1.28,0.145,1.23,0.13,7.11,0.079,4.14,0.20600000000000002,11.6,30.05,211565289597.0,95.0,30.26,79997.0
TAP,,,,,,,,,,-15.7,0.073,0.94,0.10300000000000001,1.24,0.134,8.14,0.121,4.91,0.242,13.4,53.68,11313596685.0,53.0,55.79,43389.0
